i	j	q	a
0	1	112	0
0	2	104	0
0	3	105	0
0	4	108	0
0	5	88	1
0	6	112	1
0	7	112	1
0	8	112	0
0	9	112	0
0	10	114	1
0	11	113	1
0	12	109	1
0	13	92	1
0	14	113	0
0	15	113	1
0	16	108	0
0	17	104	0
0	18	110	0
0	19	110	1
0	20	113	1
0	21	114	0
0	22	109	1
0	23	113	1
0	24	112	0
0	25	93	0
0	26	106	1
0	27	105	1
0	28	92	0
0	29	93	0
0	30	113	1
0	31	79	0
0	32	110	1
0	33	113	1
0	34	112	0
0	35	113	1
0	36	113	1
0	37	113	1
0	38	113	0
0	39	113	0
0	40	112	0
0	41	113	1
0	42	113	1
0	43	58	1
0	44	111	1
0	45	113	1
0	46	93	0
0	47	106	0
0	48	112	1
0	49	106	1
0	50	113	0
0	51	113	1
0	52	108	0
0	53	113	0
0	54	106	0
0	55	113	1
0	56	111	0
0	57	113	0
0	58	106	0
0	59	113	0
0	60	91	0
0	61	107	1
0	62	113	1
0	63	112	0
0	64	93	0
0	65	89	1
0	66	113	1
0	67	106	0
0	68	113	1
0	69	112	0
0	70	114	0
0	71	93	0
0	72	113	1
0	73	108	1
0	74	112	0
0	75	89	1
0	76	113	1
0	77	108	0
0	78	113	1
0	79	108	0
0	80	114	1
0	81	107	1
0	82	112	1
0	83	108	0
0	84	113	1
0	85	113	1
0	86	113	1
0	87	113	1
0	88	113	1
0	89	113	0
0	90	106	0
0	91	113	1
0	92	110	1
0	93	55	0
0	94	113	1
0	95	113	0
0	96	111	1
0	97	114	0
0	98	64	1
0	99	108	0
0	100	111	1
0	101	113	0
0	102	112	1
0	103	112	0
0	104	102	0
0	105	107	0
0	106	57	0
0	107	108	0
0	108	113	1
0	109	114	0
0	110	113	1
0	111	105	1
0	112	108	0
0	113	112	1
0	114	113	1
0	115	113	1
0	116	113	1
0	117	112	1
0	118	113	1
0	119	91	0
0	120	113	1
0	121	112	0
0	122	111	0
0	123	112	0
0	124	113	1
0	125	113	1
0	126	86	1
0	127	110	1
0	128	113	1
0	129	113	1
0	130	113	1
0	131	106	0
0	132	113	1
0	133	113	1
0	134	93	0
0	135	106	1
0	136	113	1
0	137	113	1
0	138	113	1
0	139	93	0
0	140	113	1
0	141	108	0
0	142	102	0
0	143	112	0
0	144	106	1
0	145	111	0
0	146	113	1
0	147	107	0
0	148	112	1
0	149	105	0
0	150	113	1
0	151	106	0
0	152	113	1
0	153	102	0
0	154	113	1
0	155	112	1
0	156	57	0
0	157	113	1
0	158	114	0
0	159	110	0
0	160	104	0
0	161	110	0
0	162	113	1
0	163	112	1
0	164	109	1
0	165	111	1
0	166	113	1
0	167	105	0
0	168	112	0
0	169	113	1
0	170	111	1
0	171	113	1
0	172	111	0
0	173	113	1
0	174	111	0
0	175	106	0
0	176	106	1
0	177	108	1
0	178	113	0
0	179	108	0
0	180	111	0
0	181	113	1
0	182	113	1
0	183	108	0
0	184	103	1
0	185	111	1
0	186	113	1
0	187	113	1
0	188	113	1
0	189	112	1
0	190	114	0
0	191	108	1
0	192	113	1
0	193	113	1
