i	j	q	a
0	1	112	1
0	2	104	1
0	3	105	1
0	4	108	1
0	5	112	1
0	6	112	1
0	7	113	1
0	8	108	1
0	9	104	1
0	10	110	1
0	11	114	1
0	12	112	1
0	13	93	1
0	14	92	1
0	15	93	1
0	16	79	1
0	17	112	1
0	18	113	1
0	19	113	1
0	20	112	1
0	21	93	1
0	22	106	1
0	23	113	1
0	24	108	1
0	25	113	1
0	26	106	1
0	27	111	1
0	28	113	1
0	29	106	1
0	30	113	1
0	31	91	1
0	32	112	1
0	33	93	1
0	34	106	1
0	35	112	1
0	36	114	1
0	37	93	1
0	38	112	1
0	39	108	1
0	40	108	1
0	41	108	1
0	42	113	1
0	43	106	1
0	44	55	1
0	45	113	1
0	46	114	1
0	47	108	1
0	48	113	1
0	49	112	1
0	50	102	1
0	51	107	1
0	52	57	1
0	53	108	1
0	54	114	1
0	55	108	1
0	56	91	1
0	57	112	1
0	58	111	1
0	59	112	1
0	60	106	1
0	61	93	1
0	62	93	1
0	63	108	1
0	64	102	1
0	65	112	1
0	66	111	1
0	67	107	1
0	68	105	1
0	69	106	1
0	70	102	1
0	71	57	1
0	72	114	1
0	73	110	1
0	74	104	1
0	75	110	1
0	76	105	1
0	77	112	1
0	78	111	1
0	79	111	1
0	80	106	1
0	81	113	1
0	82	108	1
0	83	111	1
0	84	108	1
0	85	114	1
0	86	112	1
0	87	112	1
0	88	111	1
0	89	92	1
0	90	96	1
0	91	112	1
0	92	113	1
0	93	107	1
0	94	110	1
0	95	112	1
0	96	87	1
0	97	100	1
0	98	81	1
0	99	108	1
0	100	113	1
0	101	112	1
0	102	108	1
0	103	108	1
0	104	113	1
0	105	92	1
0	106	108	1
0	107	90	1
0	108	93	1
0	109	107	1
0	110	108	1
0	111	112	1
0	112	107	1
0	113	102	1
0	114	91	1
0	115	108	1
0	116	53	1
0	117	112	1
0	118	110	1
0	119	93	1
0	120	83	1
0	121	106	1
0	122	111	1
0	123	110	1
0	124	108	1
0	125	112	1
0	126	108	1
0	127	112	1
0	128	54	1
0	129	102	1
0	130	91	1
0	131	57	1
0	132	108	1
0	133	89	1
0	134	108	1
0	135	90	1
0	136	108	1
0	137	93	1
0	138	56	1
0	139	89	1
0	140	111	1
0	141	113	1
0	142	113	1
0	143	91	1
0	144	93	1
0	145	110	1
0	146	112	1
0	147	108	1
0	148	100	1
0	149	91	1
0	150	113	1
0	151	66	1
0	152	91	1
0	153	93	1
0	154	108	1
0	155	91	1
0	156	113	1
0	157	113	1
0	158	108	1
0	159	91	1
0	160	102	1
0	161	108	1
0	162	93	1
0	163	108	1
0	164	57	1
0	165	54	1
0	166	91	1
0	167	111	1
0	168	112	1
0	169	68	1
0	170	112	1
0	171	93	1
0	172	106	1
0	173	110	1
0	174	108	1
0	175	108	1
0	176	108	1
0	177	112	1
0	178	110	1
0	179	105	1
0	180	106	1
0	181	57	1
0	182	112	1
0	183	113	1
0	184	108	1
0	185	93	1
0	186	108	1
0	187	108	1
0	188	113	1
0	189	113	1
0	190	107	1
0	191	106	1
0	192	93	1
0	193	114	1
0	194	112	1
0	195	112	1
0	196	106	1
0	197	106	1
0	198	111	1
0	199	113	1
0	200	112	1
0	201	92	1
0	202	106	1
0	203	93	1
0	204	108	1
0	205	92	1
0	206	112	1
0	207	110	1
0	208	106	1
0	209	113	1
0	210	108	1
0	211	108	1
0	212	106	1
0	213	93	1
0	214	113	1
0	215	108	1
0	216	93	1
0	217	112	1
0	218	112	1
0	219	113	1
0	220	112	1
0	221	114	1
0	222	104	1
0	223	86	1
0	224	102	1
0	225	104	1
0	226	91	1
0	227	108	1
0	228	106	1
0	229	89	1
0	230	106	1
0	231	108	1
0	232	108	1
0	233	93	1
0	234	108	1
0	235	79	1
0	236	87	1
0	237	56	1
0	238	112	1
0	239	110	1
0	240	89	1
0	241	90	1
0	242	107	1
0	243	110	1
0	244	106	1
0	245	113	1
0	246	83	1
0	247	107	1
0	248	89	1
0	249	93	1
0	250	44	1
0	251	112	1
0	252	91	1
0	253	93	1
0	254	108	1
0	255	108	1
0	256	103	1
0	257	89	1
0	258	110	1
0	259	89	1
0	260	106	1
0	261	93	1
0	262	105	1
0	263	108	1
0	264	112	1
0	265	108	1
0	266	108	1
0	267	111	1
0	268	112	1
0	269	85	1
0	270	89	1
0	271	112	1
0	272	111	1
0	273	107	1
0	274	112	1
0	275	93	1
0	276	110	1
0	277	108	1
0	278	111	1
0	279	106	1
0	280	108	1
0	281	106	1
0	282	108	1
