Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 969 0.0000 0.4573 0.0000 0.0014 0.0000
1 969 0.0000 0.4425 0.0000 0.0000 0.0000
2 969 0.0000 0.0000 0.0000 0.0000 0.0000
0 970 0.0000 0.3972 0.0000 0.0000 0.0000
1 970 0.0000 0.4132 0.0000 0.0000 0.0000
2 970 0.0000 0.4155 0.0000 0.0000 0.0000
0 971 0.0000 0.4623 0.0000 0.0039 0.0001
1 971 0.0000 0.4635 0.0000 0.0023 0.0000
2 971 0.0000 0.0000 0.0000 0.0000 0.0000
0 972 0.0000 0.4774 0.0000 0.0037 0.0002
1 972 0.0430 0.4885 0.0242 0.0970 0.0333
2 972 0.0000 0.4604 0.0000 0.0000 0.0000
0 973 0.0000 0.3292 0.0000 0.0000 0.0000
1 973 0.0000 0.2886 0.0000 0.0000 0.0000
2 973 0.0000 0.0000 0.0000 0.0000 0.0000
