Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1000 0.0000 0.4502 0.0000 0.0000 0.0000
0 1001 0.0000 0.0004 0.0000 0.0000 0.0000
0 1002 0.0000 0.3759 0.0000 0.0000 0.0000
0 1003 0.0000 0.0000 0.0000 0.0000 0.0000
0 1004 0.0000 0.3515 0.0000 0.0000 0.0000
0 1005 0.0000 0.4231 0.0000 0.0001 0.0000
0 1006 0.0000 0.4284 0.0000 0.0002 0.0000
0 1007 0.0000 0.4407 0.0000 0.0026 0.0001
0 1008 0.0000 0.3809 0.0000 0.0000 0.0000
0 1009 0.0610 0.4875 0.0323 0.1283 0.0362
0 1010 0.0000 0.0000 0.0000 0.0000 0.0000
0 1011 0.0000 0.4269 0.0000 0.0000 0.0000
0 1012 0.0010 0.4740 0.0001 0.0041 0.0006
0 1013 0.0000 0.3825 0.0000 0.0000 0.0000
0 1014 0.0000 0.3991 0.0000 0.0000 0.0000
0 1015 0.0000 0.4573 0.0000 0.0000 0.0000
0 1016 0.0000 0.1295 0.0000 0.0000 0.0000
0 1017 0.0000 0.4066 0.0000 0.0000 0.0000
0 1018 0.0000 0.2678 0.0000 0.0000 0.0000
0 1019 0.0020 0.4475 0.0006 0.0025 0.0007
0 1020 0.0000 0.3992 0.0000 0.0000 0.0000
0 1021 0.1670 0.4853 0.1308 0.1634 0.0537
0 1022 0.0000 0.0000 0.0000 0.0000 0.0000
0 1023 0.0000 0.3883 0.0000 0.0000 0.0000
0 1024 0.0000 0.4331 0.0002 0.0010 0.0000
0 1025 0.0000 0.1237 0.0000 0.0000 0.0000
0 1026 0.4930 0.5013 0.4652 0.4982 0.0974
0 1027 0.0000 0.3491 0.0000 0.0000 0.0000
0 1028 0.0000 0.4313 0.0000 0.0000 0.0000
0 1029 0.0000 0.4122 0.0000 0.0000 0.0000
0 1030 0.0000 0.4351 0.0000 0.0000 0.0000
0 1031 0.0000 0.3815 0.0000 0.0000 0.0000
0 1032 0.0000 0.3431 0.0000 0.0000 0.0000
0 1033 0.0000 0.4037 0.0000 0.0000 0.0000
0 1034 0.0000 0.3916 0.0000 0.0000 0.0000
0 1035 0.0930 0.4778 0.0682 0.0936 0.0306
0 1036 0.0000 0.3810 0.0000 0.0000 0.0000
0 1037 0.0000 0.0000 0.0000 0.0000 0.0000
0 1038 0.0000 0.0000 0.0000 0.0000 0.0000
0 1039 0.0100 0.4624 0.0070 0.0155 0.0071
0 1040 0.0000 0.4332 0.0000 0.0002 0.0003
0 1041 0.0000 0.4301 0.0000 0.0001 0.0000
0 1042 0.0000 0.3232 0.0000 0.0000 0.0000
0 1043 0.0000 0.4191 0.0000 0.0000 0.0000
0 1044 0.0010 0.4422 0.0000 0.0003 0.0000
0 1045 0.3250 0.4926 0.2959 0.3261 0.0723
0 1046 0.0000 0.4136 0.0000 0.0000 0.0000
0 1047 0.0000 0.2890 0.0000 0.0000 0.0000
0 1048 0.0740 0.4730 0.0516 0.0721 0.0263
0 1049 0.0000 0.2340 0.0000 0.0000 0.0000
0 1050 0.0470 0.4682 0.0390 0.0558 0.0182
0 1051 0.3780 0.4963 0.3364 0.3727 0.0958
0 1052 0.0100 0.4497 0.0060 0.0118 0.0047
0 1053 0.0000 0.4165 0.0000 0.0002 0.0000
0 1054 0.1930 0.4871 0.1777 0.2092 0.0633
0 1054 0.2000 0.4871 0.1777 0.2092 0.0623
0 1055 0.0000 0.4149 0.0000 0.0000 0.0000
0 1056 0.0000 0.3202 0.0000 0.0000 0.0000
0 1057 0.0000 0.2263 0.0000 0.0000 0.0000
0 1058 0.0000 0.4098 0.0002 0.0007 0.0001
0 1059 0.0000 0.0188 0.0000 0.0000 0.0000
0 1060 0.0000 0.0000 0.0000 0.0000 0.0000
0 1061 0.0000 0.0000 0.0000 0.0000 0.0000
0 1062 0.0000 0.0000 0.0000 0.0000 0.0000
0 1063 0.0000 0.0000 0.0000 0.0000 0.0000
0 1064 0.0000 0.0000 0.0000 0.0000 0.0000
0 1065 0.0000 0.0000 0.0000 0.0000 0.0000
0 1066 0.0000 0.0000 0.0000 0.0000 0.0000
0 1067 0.0000 0.0000 0.0000 0.0000 0.0000
0 1068 0.0000 0.0000 0.0000 0.0000 0.0000
0 1069 0.0000 0.0000 0.0000 0.0000 0.0000
0 1070 0.0000 0.0000 0.0000 0.0000 0.0000
0 1071 0.0000 0.0000 0.0000 0.0000 0.0000
0 1072 0.0000 0.0000 0.0000 0.0000 0.0000
0 1073 0.0000 0.0000 0.0000 0.0000 0.0000
0 1074 0.0000 0.0000 0.0000 0.0000 0.0000
0 1075 0.0000 0.0000 0.0000 0.0000 0.0000
0 1076 0.0000 0.0000 0.0000 0.0000 0.0000
0 1077 0.0000 0.0000 0.0000 0.0000 0.0000
0 1078 0.0000 0.0000 0.0000 0.0000 0.0000
0 1079 0.0000 0.0000 0.0000 0.0000 0.0000
0 1080 0.0000 0.0000 0.0000 0.0000 0.0000
0 1081 0.0000 0.0000 0.0000 0.0000 0.0000
0 1082 0.0000 0.0000 0.0000 0.0000 0.0000
0 1083 0.0000 0.0000 0.0000 0.0000 0.0000
0 1084 0.0000 0.0000 0.0000 0.0000 0.0000
0 1085 0.0000 0.0000 0.0000 0.0000 0.0000
0 1086 0.0000 0.0000 0.0000 0.0000 0.0000
0 1087 0.0000 0.0000 0.0000 0.0000 0.0000
0 1088 0.0000 0.0000 0.0000 0.0000 0.0000
0 1089 0.0000 0.0000 0.0000 0.0000 0.0000
0 1090 0.0000 0.0000 0.0000 0.0000 0.0000
0 1091 0.0000 0.0000 0.0000 0.0000 0.0000
0 1092 0.0000 0.0000 0.0000 0.0000 0.0000
0 1093 0.0000 0.0000 0.0000 0.0000 0.0000
0 1094 0.0000 0.0000 0.0000 0.0000 0.0000
0 1095 0.0000 0.0000 0.0000 0.0000 0.0000
0 1096 0.0000 0.0000 0.0000 0.0000 0.0000
0 1097 0.0000 0.0000 0.0000 0.0000 0.0000
0 1098 0.0000 0.0000 0.0000 0.0000 0.0000
0 1099 0.0000 0.0000 0.0000 0.0000 0.0000
0 1100 0.0000 0.0000 0.0000 0.0000 0.0000
0 1101 0.0000 0.0000 0.0000 0.0000 0.0000
0 1102 0.0000 0.0000 0.0000 0.0000 0.0000
0 1103 0.0000 0.0000 0.0000 0.0000 0.0000
0 1104 0.0000 0.0000 0.0000 0.0000 0.0000
0 1105 0.0000 0.0000 0.0000 0.0000 0.0000
0 1106 0.0000 0.0000 0.0000 0.0000 0.0000
0 1107 0.0000 0.0000 0.0000 0.0000 0.0000
0 1108 0.0000 0.0000 0.0000 0.0000 0.0000
0 1109 0.0000 0.0000 0.0000 0.0000 0.0000
0 1110 0.0000 0.0000 0.0000 0.0000 0.0000
0 1111 0.0000 0.0000 0.0000 0.0000 0.0000
0 1112 0.0000 0.0000 0.0000 0.0000 0.0000
0 1113 0.0000 0.0000 0.0000 0.0000 0.0000
0 1114 0.0000 0.0000 0.0000 0.0000 0.0000
0 1115 0.0000 0.0000 0.0000 0.0000 0.0000
0 1116 0.0000 0.0000 0.0000 0.0000 0.0000
0 1117 0.0000 0.0000 0.0000 0.0000 0.0000
0 1118 0.0000 0.0000 0.0000 0.0000 0.0000
0 1119 0.0000 0.0000 0.0000 0.0000 0.0000
0 1120 0.0000 0.0000 0.0000 0.0000 0.0000
0 1121 0.0000 0.0000 0.0000 0.0000 0.0000
0 1122 0.0000 0.0000 0.0000 0.0000 0.0000
0 1123 0.0000 0.0000 0.0000 0.0000 0.0000
0 1124 0.0000 0.0000 0.0000 0.0000 0.0000
0 1125 0.0000 0.0000 0.0000 0.0000 0.0000
0 1126 0.0000 0.0000 0.0000 0.0000 0.0000
0 1127 0.0000 0.0000 0.0000 0.0000 0.0000
0 1128 0.0000 0.0000 0.0000 0.0000 0.0000
0 1129 0.0000 0.0000 0.0000 0.0000 0.0000
0 1130 0.0000 0.0000 0.0000 0.0000 0.0000
0 1131 0.0000 0.0000 0.0000 0.0000 0.0000
0 1132 0.0000 0.0000 0.0000 0.0000 0.0000
0 1133 0.0000 0.0000 0.0000 0.0000 0.0000
0 1134 0.0000 0.0000 0.0000 0.0000 0.0000
0 1135 0.0000 0.0000 0.0000 0.0000 0.0000
0 1136 0.0000 0.0000 0.0000 0.0000 0.0000
0 1137 0.0000 0.0000 0.0000 0.0000 0.0000
0 1138 0.0000 0.0000 0.0000 0.0000 0.0000
0 1139 0.0000 0.0000 0.0000 0.0000 0.0000
0 1140 0.0000 0.0000 0.0000 0.0000 0.0000
0 1141 0.0000 0.0000 0.0000 0.0000 0.0000
0 1142 0.0000 0.0000 0.0000 0.0000 0.0000
0 1143 0.0000 0.0000 0.0000 0.0000 0.0000
0 1144 0.0000 0.0000 0.0000 0.0000 0.0000
0 1145 0.0000 0.0000 0.0000 0.0000 0.0000
0 1146 0.0000 0.0000 0.0000 0.0000 0.0000
0 1147 0.0000 0.0000 0.0000 0.0000 0.0000
0 1148 0.0000 0.0000 0.0000 0.0000 0.0000
0 1149 0.0000 0.0000 0.0000 0.0000 0.0000
0 1150 0.0000 0.0000 0.0000 0.0000 0.0000
0 1151 0.0000 0.0000 0.0000 0.0000 0.0000
0 1152 0.0000 0.0000 0.0000 0.0000 0.0000
0 1153 0.0000 0.0000 0.0000 0.0000 0.0000
0 1154 0.0000 0.0000 0.0000 0.0000 0.0000
0 1155 0.0000 0.0000 0.0000 0.0000 0.0000
0 1156 0.0000 0.0000 0.0000 0.0000 0.0000
0 1157 0.0000 0.0000 0.0000 0.0000 0.0000
