Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 764 1.0000 0.1606 275.2728 0.3966 1.0000
1 764 1.0000 0.2707 424.3961 0.4444 1.0000
2 764 0.0000 0.0000 0.0000 0.0000 0.0000
0 765 1.0000 0.0042 5.7484 0.0964 0.9958
1 765 1.0000 0.0037 4.9041 0.0937 0.9935
2 765 0.0000 0.0000 0.0000 0.0000 0.0000
0 766 1.0000 0.0042 5.7109 0.1252 0.9940
1 766 1.0000 0.0037 4.9384 0.1100 0.9931
2 766 0.0000 0.0000 0.0000 0.0000 0.0000
0 767 1.0000 0.0042 5.9183 0.0912 0.9950
1 767 1.0000 0.0037 4.8793 0.0740 0.9939
2 767 0.0000 0.0000 0.0000 0.0000 0.0000
0 768 1.0000 0.0042 5.8031 0.1607 0.9951
1 768 1.0000 0.0037 5.0119 0.1100 0.9941
2 768 0.0000 0.0000 0.0000 0.0000 0.0000
0 769 1.0000 0.0042 5.0859 0.0912 0.9927
1 769 1.0000 0.0037 4.3617 0.0830 0.9918
2 769 0.0000 0.0000 0.0000 0.0000 0.0000
0 770 1.0000 0.0042 6.6505 0.1025 0.9957
1 770 1.0000 0.0037 5.8071 0.1100 0.9939
2 770 0.0000 0.0000 0.0000 0.0000 0.0000
0 771 1.0000 0.0042 6.8692 0.1061 0.9966
1 771 1.0000 0.0037 6.2567 0.0993 0.9949
2 771 0.0000 0.0000 0.0000 0.0000 0.0000
0 772 1.0000 0.0042 6.3142 0.1025 0.9956
1 772 1.0000 0.0037 5.4126 0.0964 0.9952
2 772 0.0000 0.0000 0.0000 0.0000 0.0000
0 773 1.0000 0.0042 6.3087 0.0868 0.9966
1 773 1.0000 0.0037 5.5816 0.1025 0.9951
2 773 0.0000 0.0000 0.0000 0.0000 0.0000
0 774 1.0000 0.0042 5.8367 0.1100 0.9961
1 774 1.0000 0.0037 5.1652 0.1025 0.9947
2 774 0.0000 0.0000 0.0000 0.0000 0.0000
0 775 1.0000 0.0042 5.2897 0.0912 0.9943
1 775 1.0000 0.0037 4.7058 0.0964 0.9929
2 775 0.0000 0.0000 0.0000 0.0000 0.0000
0 776 1.0000 0.0042 6.6320 0.1144 0.9973
1 776 1.0000 0.0037 5.6059 0.1194 0.9937
2 776 0.0000 0.0000 0.0000 0.0000 0.0000
0 777 1.0000 0.0042 4.9539 0.1195 0.9936
1 777 1.0000 0.0037 4.2546 0.0889 0.9908
2 777 0.0000 0.0000 0.0000 0.0000 0.0000
0 778 1.0000 0.0042 5.0564 0.1061 0.9949
1 778 1.0000 0.0037 4.4742 0.0766 0.9945
2 778 0.0000 0.0000 0.0000 0.0000 0.0000
0 779 1.0000 0.0042 5.6240 0.0964 0.9962
1 779 1.0000 0.0037 4.9367 0.0781 0.9922
2 779 0.0000 0.0000 0.0000 0.0000 0.0000
0 780 1.0000 0.0042 6.8808 0.0848 0.9965
1 780 1.0000 0.0037 5.9794 0.1144 0.9954
2 780 0.0000 0.0000 0.0000 0.0000 0.0000
0 781 1.0000 0.0042 6.7384 0.0868 0.9973
1 781 1.0000 0.0037 5.9496 0.1100 0.9943
2 781 0.0000 0.0000 0.0000 0.0000 0.0000
0 782 1.0000 0.0042 6.0588 0.1100 0.9960
1 782 1.0000 0.0037 5.4241 0.0889 0.9951
2 782 0.0000 0.0000 0.0000 0.0000 0.0000
0 783 1.0000 0.0042 6.3353 0.0616 0.9958
1 783 1.0000 0.0037 5.2828 0.0554 0.9947
2 783 0.0000 0.0000 0.0000 0.0000 0.0000
0 784 1.0000 0.0042 7.0011 0.0993 0.9976
1 784 1.0000 0.0037 6.1098 0.0796 0.9956
2 784 0.0000 0.0000 0.0000 0.0000 0.0000
